No.overall,No. inseason,Season,Title,Directed by,Written by,Original air date,Prod.code,U.S. viewers(millions)
1,1,1,Pilot,Bharat Nalluri,Jason Rothenberg,"March 19, 2014 (2014-03-19)",296843,2.73
2,2,1,Earth Skills,Dean White,Jason Rothenberg,"March 26, 2014 (2014-03-26)",2J7052,2.27
3,3,1,Earth Kills,Dean White,Elizabeth Craft & Sarah Fain,"April 2, 2014 (2014-04-02)",2J7053,1.90
4,4,1,Murphy's Law,P. J. Pesce,T. J. Brady & Rasheed Newson,"April 9, 2014 (2014-04-09)",2J7054,1.69
5,5,1,Twilight's Last Gleaming,Milan Cheylov,Bruce Miller,"April 16, 2014 (2014-04-16)",2J7055,1.80
6,6,1,His Sister's Keeper,Wayne Rose,Tracy Bellomo & Dorothy Fortenberry,"April 23, 2014 (2014-04-23)",2J7056,1.97
7,7,1,Contents Under Pressure,John Showalter,Akela Cooper & Kira Snyder,"April 30, 2014 (2014-04-30)",2J7057,1.88
8,8,1,Day Trip,Matt Barber,Story by : Andrei HaqTeleplay by : Elizabeth Craft & Sarah Fain,"May 7, 2014 (2014-05-07)",2J7058,1.64
9,9,1,Unity Day,John Behring,Kim Shumway & Kira Snyder,"May 14, 2014 (2014-05-14)",2J7059,1.73
10,10,1,I Am Become Death,Omar Madha,T. J. Brady & Rasheed Newson,"May 21, 2014 (2014-05-21)",2J7060,1.46
11,11,1,The Calm,Mairzee Almas,Bruce Miller,"May 28, 2014 (2014-05-28)",2J7061,1.71
12,12,1,We Are Grounders – Part I,Dean White,Tracy Bellmo & Akela Cooper,"June 4, 2014 (2014-06-04)",2J7062,1.58
13,13,1,We Are Grounders – Part II,Dean White,Jason Rothenberg,"June 11, 2014 (2014-06-11)",2J7063,1.68
14,1,2,The 48,Dean White,Jason Rothenberg,"October 22, 2014 (2014-10-22)",3J5251,1.55
15,2,2,Inclement Weather,John F. Showalter,Michael Angeli,"October 29, 2014 (2014-10-29)",3J5252,1.48
16,3,2,Reapercussions,Dean White,Aaron Ginsburg & Wade McIntyre,"November 5, 2014 (2014-11-05)",3J5253,1.68
17,4,2,Many Happy Returns,P. J. Pesce,Kim Shumway,"November 12, 2014 (2014-11-12)",3J5254,1.75
18,5,2,Human Trials,Ed Fraiman,Charlie Craig,"November 19, 2014 (2014-11-19)",3J5255,1.64
19,6,2,Fog of War,Steven DePaul,Kira Snyder,"December 3, 2014 (2014-12-03)",3J5256,1.86
20,7,2,Long Into an Abyss,Antonio Negret,James Thorpe,"December 10, 2014 (2014-12-10)",3J5257,1.62
21,8,2,Spacewalker,John F. Showalter,Bruce Miller,"December 17, 2014 (2014-12-17)",3J5258,1.40
22,9,2,Remember Me,Omar Madha,Dorothy Fortenberry,"January 21, 2015 (2015-01-21)",3J5259,1.48
23,10,2,Survival of the Fittest,Dean White,Akela Cooper,"January 28, 2015 (2015-01-28)",3J5260,1.53
24,11,2,Coup de Grace,P. J. Pesce,Charlie Craig,"February 4, 2015 (2015-02-04)",3J5261,1.51
25,12,2,Rubicon,Mairzee Almas,Aaron Ginsburg & Wade McIntyre,"February 11, 2015 (2015-02-11)",3J5262,1.36
26,13,2,Resurrection,Dean White,Bruce Miller,"February 18, 2015 (2015-02-18)",3J5263,1.42
27,14,2,Bodyguard of Lies,Uta Briesewitz,Kim Shumway,"February 25, 2015 (2015-02-25)",3J5264,1.55
28,15,2,"Blood Must Have Blood, Part One",Omar Madha,Aaron Ginsburg & Wade McIntyre,"March 4, 2015 (2015-03-04)",3J5265,1.49
29,16,2,"Blood Must Have Blood, Part Two",Dean White,Jason Rothenberg,"March 11, 2015 (2015-03-11)",3J5266,1.34
30,1,3,Wanheda: Part One,Dean White,Jason Rothenberg,"January 21, 2016 (2016-01-21)",3J5751,1.88
31,2,3,Wanheda: Part Two,Mairzee Almas,Aaron Ginsburg & Wade McIntyre,"January 28, 2016 (2016-01-28)",3J5752,1.63
32,3,3,Ye Who Enter Here,Antonio Negret,Kim Shumway,"February 4, 2016 (2016-02-04)",3J5753,1.57
33,4,3,Watch the Thrones,Ed Fraiman,Dorothy Fortenberry,"February 11, 2016 (2016-02-11)",3J5754,1.32
34,5,3,Hakeldama,Tim Scanlan,Charlie Craig,"February 18, 2016 (2016-02-18)",3J5755,1.36
