No.overall,No. inseason,Title,Directed by,Written by,Original air date,Prod.code,U.S. viewers(millions),Original air date [96]
72,1,"""Sanctum""",Ed Fraiman,Jason Rothenberg,"April 30, 2019 (2019-04-30)",T27.13801,0.86[83],
73,2,"""Red Sun Rising""",Alex Kalymnios,Jeff Vlaming,"May 7, 2019 (2019-05-07)",T27.13802,0.81[84],
74,3,"""The Children of Gabriel""",Dean White,Drew Lindo,"May 14, 2019 (2019-05-14)",T27.13803,0.82[85],
75,4,"""The Face Behind the Glass""",Tim Scanlan,Charmaine DeGraté,"May 21, 2019 (2019-05-21)",T27.13804,0.73[86],
76,5,"""The Gospel of Josephine""",Ian Samoil,Georgia Lee,"May 28, 2019 (2019-05-28)",T27.13805,0.73[87],
77,6,"""Memento Mori""",P.J. Pesce,Alyssa Clark,"June 11, 2019 (2019-06-11)",T27.13806,0.64[88],
78,7,"""Nevermind""",Michael Blundell,Kim Shumway,"June 18, 2019 (2019-06-18)",T27.13807,0.72[89],
79,8,"""The Old Man and the Anomaly""",April Mullen,Miranda Kwok,"June 25, 2019 (2019-06-25)",T27.13808,0.63[90],
80,9,"""What You Take With You""",Marshall Virtue,Nikki Goldwaser,"July 9, 2019 (2019-07-09)",T27.13809,0.70[91],
81,10,"""Matryoshka""",Amanda Tapping,Drew Lindo,"July 16, 2019 (2019-07-16)",T27.13810,0.57[92],
82,11,"""Ashes to Ashes""",Bob Morley,Charmaine DeGraté,"July 23, 2019 (2019-07-23)",T27.13811,0.54[93],
83,12,"""Adjustment Protocol""",Antonio Negret,Kim Shumway,"July 30, 2019 (2019-07-30)",T27.13812,0.61[94],
84,13,"""The Blood of Sanctum""",Ed Fraiman,Jason Rothenberg,"August 6, 2019 (2019-08-06)",T27.13813,0.59[95],
85,1,"""From the Ashes""",Ed Fraiman,Jason Rothenberg,,T27.14051,0.80[97],"May 20, 2020 (2020-05-20)"
86,2,"""The Garden""",Dean White,Jeff Vlaming,,T27.14053,0.76[98],"May 27, 2020 (2020-05-27)"
87,3,"""False Gods""",Tim Scanlan,Kim Shumway,,T27.14052,0.71[99],"June 3, 2020 (2020-06-03)"
88,4,"""Hesperides""",Diana Valentine,Sean Crouch,,T27.14054,0.63[100],"June 10, 2020 (2020-06-10)"
89,5,"""Welcome to Bardo""",Ian Samoil,Drew Lindo,,T27.14055,0.68[101],"June 17, 2020 (2020-06-17)"
90,6,"""Nakara""",PJ Pesce,Erica Meredith,,T27.14056,0.57[102],"June 24, 2020 (2020-06-24)"
