No.overall,No. inseason,Season,Title,Directed by,Written by,Original air date ,U.S. viewers(millions)
59,9,6,Battle of the Bastards,Miguel Sapochnik,David Benioff & D. B. Weiss,"June 19, 2016 (2016-06-19)",7.66
60,10,6,The Winds of Winter,Miguel Sapochnik,David Benioff & D. B. Weiss,"June 26, 2016 (2016-06-26)",8.89
61,1,7,Dragonstone,Jeremy Podeswa,David Benioff & D. B. Weiss,"July 16, 2017 (2017-07-16)",10.11
62,2,7,Stormborn,Mark Mylod,Bryan Cogman,"July 23, 2017 (2017-07-23)",9.27
63,3,7,The Queen's Justice,Mark Mylod,David Benioff & D. B. Weiss,"July 30, 2017 (2017-07-30)",9.25
64,4,7,The Spoils of War,Matt Shakman,David Benioff & D. B. Weiss,"August 6, 2017 (2017-08-06)",10.17
65,5,7,Eastwatch,Matt Shakman,Dave Hill,"August 13, 2017 (2017-08-13)",10.72
66,6,7,Beyond the Wall,Alan Taylor,David Benioff & D. B. Weiss,"August 20, 2017 (2017-08-20)",10.24
67,7,7,The Dragon and the Wolf,Jeremy Podeswa,David Benioff & D. B. Weiss,"August 27, 2017 (2017-08-27)",12.07
68,1,8,Winterfell,David Nutter,Dave Hill,"April 14, 2019 (2019-04-14)",11.76
69,2,8,A Knight of the Seven Kingdoms,David Nutter,Bryan Cogman,"April 21, 2019 (2019-04-21)",10.29
70,3,8,The Long Night,Miguel Sapochnik,David Benioff & D. B. Weiss,"April 28, 2019 (2019-04-28)",12.02
71,4,8,The Last of the Starks,David Nutter,David Benioff & D. B. Weiss,"May 5, 2019 (2019-05-05)",11.80
72,5,8,The Bells,Miguel Sapochnik,David Benioff & D. B. Weiss,"May 12, 2019 (2019-05-12)",12.48
73,6,8,The Iron Throne,David Benioff & D. B. Weiss,David Benioff & D. B. Weiss,"May 19, 2019 (2019-05-19)",13.61
74,1,Special,Game of Thrones: A Day in the Life,,,"February 8, 2015 (2015-02-08)",
75,2,Special,Game of Thrones: The Last Watch,,,"May 26, 2019 (2019-05-26)",1.63
